
> my-project@0.1.0 dev
> next dev -p 3000

▲ Next.js 16.3.0 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://10.119.76.145:3000
✓ Ready in 727ms
⚠ Warning: Next.js ignored package-lock.json in /home/raftlee/Documentos/Workspace because it is outside the current Git repository (/home/raftlee/Documentos/Workspace/prototipo-vigia).
 To use this directory, set `turbopack.root` in your Next.js config.

✓ Running next.config.mjs took 29ms

 GET /alertas 200 in 2.0s (next.js: 1443ms, proxy.ts: 258ms, application-code: 298ms)
 GET /api/v1/alertas?estado=pendiente&limit=50 200 in 72ms (next.js: 29ms, proxy.ts: 7ms, application-code: 35ms)
 GET /api/v1/alertas?estado=pendiente&limit=50 200 in 54ms (next.js: 23ms, proxy.ts: 6ms, application-code: 25ms)
 GET /api/v1/alertas?estado=pendiente&limit=50 200 in 43ms (next.js: 19ms, proxy.ts: 4ms, application-code: 20ms)
 GET /api/v1/alertas?estado=pendiente&limit=50 401 in 32ms (next.js: 20ms, proxy.ts: 5ms, application-code: 8ms)
 GET /api/v1/alertas?estado=pendiente&limit=50 401 in 31ms (next.js: 19ms, proxy.ts: 5ms, application-code: 7ms)
 GET /api/v1/alertas?estado=pendiente&limit=50 401 in 39ms (next.js: 26ms, proxy.ts: 6ms, application-code: 7ms)
 GET /api/v1/alertas?estado=pendiente&limit=50 401 in 34ms (next.js: 24ms, proxy.ts: 3ms, application-code: 7ms)
 GET /api/v1/alertas?estado=pendiente&limit=50 401 in 30ms (next.js: 19ms, proxy.ts: 4ms, application-code: 7ms)
 GET /api/v1/alertas?estado=pendiente&limit=50 401 in 39ms (next.js: 21ms, proxy.ts: 7ms, application-code: 11ms)
 GET /api/v1/alertas?estado=pendiente&limit=50 401 in 32ms (next.js: 19ms, proxy.ts: 5ms, application-code: 8ms)
 GET /api/v1/alertas?estado=pendiente&limit=50 401 in 30ms (next.js: 20ms, proxy.ts: 4ms, application-code: 6ms)
 GET /api/v1/alertas?estado=pendiente&limit=50 401 in 41ms (next.js: 24ms, proxy.ts: 7ms, application-code: 11ms)
 GET /login?next=%2Fmonitor 307 in 226ms (proxy.ts: 4ms)
 GET /login?next=%2Fmonitor 200 in 148ms (next.js: 10ms, proxy.ts: 8ms, application-code: 129ms)
[browser] Detected `scroll-behavior: smooth` on the `<html>` element. To disable smooth scrolling during route transitions, add `data-scroll-behavior="smooth"` to your <html> element. Learn more: https://nextjs.org/docs/messages/missing-data-scroll-behavior
 POST /api/auth/login 200 in 231ms (next.js: 87ms, proxy.ts: 13ms, application-code: 131ms)
 GET / 307 in 111ms (proxy.ts: 6ms)
 GET / 200 in 45ms (next.js: 7ms, proxy.ts: 5ms, application-code: 34ms)
 GET /api/auth/me 200 in 81ms (next.js: 44ms, proxy.ts: 18ms, application-code: 18ms)
 GET /api/v1/alertas?estado=pendiente&limit=50 200 in 153ms (next.js: 71ms, proxy.ts: 29ms, application-code: 52ms)
 GET /api/v1/dashboard/alertas-recientes 200 in 240ms (next.js: 88ms, proxy.ts: 27ms, application-code: 124ms)
 GET /api/v1/dashboard/alertas-recientes 200 in 123ms (next.js: 21ms, proxy.ts: 8ms, application-code: 93ms)
 GET /api/v1/dashboard/actividad 200 in 250ms (next.js: 24ms, proxy.ts: 73ms, application-code: 152ms)
 GET /api/v1/dashboard/actividad 200 in 334ms (next.js: 83ms, proxy.ts: 27ms, application-code: 224ms)
 GET /api/v1/dashboard/resumen 200 in 338ms (next.js: 94ms, proxy.ts: 26ms, application-code: 218ms)
 GET /api/v1/dashboard/resumen 200 in 352ms (next.js: 76ms, proxy.ts: 28ms, application-code: 248ms)
